nodenumber     x-coordinate     y-coordinate         pressure velocity-magnitude       y-velocity       x-velocity     y-coordinate     x-coordinate 
        71  8.499999642E-01  5.426356196E-01 -2.264505383E-08  2.132643422E-04  4.646510570E-05 -2.081136045E-04  5.426356792E-01  8.499999642E-01 
        72  8.499999642E-01  5.503875613E-01 -2.485949047E-08  2.172853419E-04  4.908382107E-05 -2.116410178E-04  5.503876209E-01  8.499999642E-01 
        73  8.499999642E-01  5.581395030E-01 -2.717508529E-08  2.212175896E-04  5.178578431E-05 -2.150426008E-04  5.581395626E-01  8.499999642E-01 
        74  8.499999642E-01  5.658914447E-01 -2.959243695E-08  2.250385878E-04  5.456572762E-05 -2.182944445E-04  5.658913851E-01  8.499999642E-01 
        75  8.499999642E-01  5.736433864E-01 -3.211136601E-08  2.287240059E-04  5.741731366E-05 -2.213710250E-04  5.736433268E-01  8.499999642E-01 
        76  8.499999642E-01  5.813953280E-01 -3.473126142E-08  2.322478686E-04  6.033307727E-05 -2.242451883E-04  5.813952684E-01  8.499999642E-01 
        77  8.499999642E-01  5.891472697E-01 -3.745100230E-08  2.355823090E-04  6.330435281E-05 -2.268881071E-04  5.891472101E-01  8.499999642E-01 
        78  8.499999642E-01  5.968992114E-01 -4.026829004E-08  2.386976266E-04  6.632126315E-05 -2.292693389E-04  5.968991518E-01  8.499999642E-01 
        79  8.499999642E-01  6.046511531E-01 -4.318023272E-08  2.415624476E-04  6.937270518E-05 -2.313568839E-04  6.046510935E-01  8.499999642E-01 
        80  8.499999642E-01  6.124030948E-01 -4.618320304E-08  2.441435063E-04  7.244632434E-05 -2.331170836E-04  6.124030352E-01  8.499999642E-01 
        81  8.499999642E-01  6.201550364E-01 -4.927262509E-08  2.464058052E-04  7.552849274E-05 -2.345146349E-04  6.201550364E-01  8.499999642E-01 
        82  8.499999642E-01  6.279069781E-01 -5.244302059E-08  2.483126591E-04  7.860437472E-05 -2.355127654E-04  6.279069781E-01  8.499999642E-01 
        83  8.499999642E-01  6.356589198E-01 -5.568795558E-08  2.498257090E-04  8.165794134E-05 -2.360731596E-04  6.356589198E-01  8.499999642E-01 
        84  8.499999642E-01  6.434108019E-01 -5.900006528E-08  2.509050246E-04  8.467200678E-05 -2.361559018E-04  6.434108615E-01  8.499999642E-01 
        85  8.499999642E-01  6.511627436E-01 -6.237098660E-08  2.515090746E-04  8.762840298E-05 -2.357195481E-04  6.511628032E-01  8.499999642E-01 
        86  8.499999642E-01  6.589146852E-01 -6.579159617E-08  2.515949018E-04  9.050782683E-05 -2.347211121E-04  6.589147449E-01  8.499999642E-01 
        87  8.500000238E-01  6.666666865E-01 -6.925102269E-08  2.511183266E-04  9.329040768E-05 -2.331159631E-04  6.666666865E-01  8.500000238E-01 
        88  8.499999642E-01  6.744185686E-01 -7.273945357E-08  2.500338596E-04  9.595508163E-05 -2.308579569E-04  6.744186282E-01  8.499999642E-01 
        89  8.499999642E-01  6.821705103E-01 -7.624467457E-08  2.482954296E-04  9.848070476E-05 -2.278993634E-04  6.821705699E-01  8.499999642E-01 
        90  8.499999642E-01  6.899224520E-01 -7.975178562E-08  2.458559175E-04  1.008457184E-04 -2.241903858E-04  6.899224520E-01  8.499999642E-01 
        91  8.499999642E-01  6.976743937E-01 -8.324915513E-08  2.426674619E-04  1.030278363E-04 -2.196791029E-04  6.976743937E-01  8.499999642E-01 
        92  8.499999642E-01  7.054263353E-01 -8.672326146E-08  2.386826964E-04  1.050051796E-04 -2.143117890E-04  7.054263353E-01  8.499999642E-01 
        93  8.499999642E-01  7.131782770E-01 -9.015884928E-08  2.338547056E-04  1.067558114E-04 -2.080322010E-04  7.131782770E-01  8.499999642E-01 
        94  8.499999642E-01  7.209302187E-01 -9.354106822E-08  2.281382331E-04  1.082583331E-04 -2.007815492E-04  7.209302187E-01  8.499999642E-01 
        95  8.499999642E-01  7.286821604E-01 -9.685463453E-08  2.214911510E-04  1.094918989E-04 -1.924982207E-04  7.286821604E-01  8.499999642E-01 
        96  8.499999642E-01  7.364341021E-01 -1.000843071E-07  2.138762939E-04  1.104365510E-04 -1.831172704E-04  7.364341021E-01  8.499999642E-01 
        97  8.499999642E-01  7.441860437E-01 -1.032147026E-07  2.052650525E-04  1.110733429E-04 -1.725702896E-04  7.441860437E-01  8.499999642E-01 
        98  8.499999642E-01  7.519379258E-01 -1.062305657E-07  1.956425112E-04  1.113846956E-04 -1.607849263E-04  7.519379854E-01  8.499999642E-01 
        99  8.499999642E-01  7.596898675E-01 -1.091169750E-07  1.850158296E-04  1.113545877E-04 -1.476844773E-04  7.596899271E-01  8.499999642E-01 
       100  8.499999642E-01  7.674418092E-01 -1.118594284E-07  1.734285179E-04  1.109687437E-04 -1.331875101E-04  7.674418688E-01  8.499999642E-01 
       101  8.499999642E-01  7.751937509E-01 -1.144439068E-07  1.609842147E-04  1.102149690E-04 -1.172074553E-04  7.751938105E-01  8.499999642E-01 
       102  8.499999642E-01  7.829456925E-01 -1.168571231E-07  1.478883059E-04  1.090833466E-04 -9.965231584E-05  7.829457521E-01  8.499999642E-01 
       103  8.499999642E-01  7.906976342E-01 -1.190866428E-07  1.345206110E-04  1.075664331E-04 -8.042418631E-05  7.906976938E-01  8.499999642E-01 
       104  8.499999642E-01  7.984495759E-01 -1.211208627E-07  1.215590746E-04  1.056596229E-04 -5.941920608E-05  7.984496355E-01  8.499999642E-01 
       105  8.499999642E-01  8.062015176E-01 -1.229494302E-07  1.101643866E-04  1.033612352E-04 -3.652726082E-05  8.062015772E-01  8.499999642E-01 
       106  8.499999642E-01  8.139534593E-01 -1.245626748E-07  1.021508942E-04  1.006732637E-04 -1.163199067E-05  8.139534593E-01  8.499999642E-01 
       107  8.499999642E-01  8.217054009E-01 -1.259560491E-07  9.984122880E-05  9.760072862E-05  1.538905963E-05  8.217054009E-01  8.499999642E-01 
       108  8.499999642E-01  8.294573426E-01 -1.271258014E-07  1.052603038E-04  9.415199020E-05  4.466688915E-05  8.294573426E-01  8.499999642E-01 
       109  8.499999642E-01  8.372092843E-01 -1.280674695E-07  1.191314150E-04  9.034009418E-05  7.634075882E-05  8.372092843E-01  8.499999642E-01 
       110  8.499999642E-01  8.449612260E-01 -1.287800444E-07  1.407848031E-04  8.618171705E-05  1.105550109E-04  8.449612260E-01  8.499999642E-01 
       111  8.499999642E-01  8.527131677E-01 -1.292617355E-07  1.689862111E-04  8.169828652E-05  1.474578021E-04  8.527131677E-01  8.499999642E-01 
       112  8.499999642E-01  8.604651093E-01 -1.295118182E-07  2.026576840E-04  7.691571227E-05  1.871989953E-04  8.604651093E-01  8.499999642E-01 
       113  8.499999642E-01  8.682170510E-01 -1.295332197E-07  2.410822490E-04  7.186493167E-05  2.299279004E-04  8.682170510E-01  8.499999642E-01 
       114  8.499999642E-01  8.759689927E-01 -1.293308429E-07  2.838415967E-04  6.658297207E-05  2.757899929E-04  8.759689927E-01  8.499999642E-01 
       115  8.499999642E-01  8.837209344E-01 -1.289105285E-07  3.307105508E-04  6.111241237E-05  3.249233996E-04  8.837209344E-01  8.499999642E-01 
       116  8.499999642E-01  8.914728761E-01 -1.282807602E-07  3.815771779E-04  5.550159403E-05  3.774541838E-04  8.914728761E-01  8.499999642E-01 
       117  8.499999642E-01  8.992247581E-01 -1.274529353E-07  4.363895277E-04  4.980485755E-05  4.334915138E-04  8.992248178E-01  8.499999642E-01 
       118  8.499999642E-01  9.069766998E-01 -1.264402272E-07  4.951214651E-04  4.408298992E-05  4.931214498E-04  9.069767594E-01  8.499999642E-01 
       119  8.499999642E-01  9.147286415E-01 -1.252576851E-07  5.577480188E-04  3.840216596E-05  5.564001040E-04  9.147287011E-01  8.499999642E-01 
       120  8.499999642E-01  9.224805832E-01 -1.239224474E-07  6.242281524E-04  3.283404294E-05  6.233465974E-04  9.224806428E-01  8.499999642E-01 
       121  8.499999642E-01  9.302325249E-01 -1.224539403E-07  6.944902125E-04  2.745464735E-05  6.939349114E-04  9.302325845E-01  8.499999642E-01 
       122  8.499999642E-01  9.379844666E-01 -1.208721017E-07  7.684194716E-04  2.234366184E-05  7.680858835E-04  9.379844666E-01  8.499999642E-01 
       123  8.499999642E-01  9.457364082E-01 -1.191997612E-07  8.458477096E-04  1.758206599E-05  8.456590585E-04  9.457364082E-01  8.499999642E-01 
       124  8.499999642E-01  9.534883499E-01 -1.174562101E-07  9.265439585E-04  1.325202629E-05  9.264453547E-04  9.534883499E-01  8.499999642E-01 
       125  8.499999642E-01  9.612402916E-01 -1.156704883E-07  1.010206062E-03  9.430434147E-06  1.010159729E-03  9.612402916E-01  8.499999642E-01 
       126  8.499999642E-01  9.689922333E-01 -1.138503123E-07  1.096455613E-03  6.194924481E-06  1.096436754E-03  9.689922333E-01  8.499999642E-01 
       127  8.499999642E-01  9.767441750E-01 -1.120468340E-07  1.184833585E-03  3.601909157E-06  1.184827415E-03  9.767441750E-01  8.499999642E-01 
       128  8.499999642E-01  9.844961166E-01 -1.102365559E-07  1.274800976E-03  1.724306571E-06  1.274799579E-03  9.844961166E-01  8.499999642E-01 
       129  8.499999642E-01  9.922480583E-01 -1.088277628E-07  1.365739969E-03  5.541533028E-07  1.365739619E-03  9.922480583E-01  8.499999642E-01 
       130  8.499999642E-01  1.000000000E+00 -1.083483383E-07  1.456972444E-03  0.000000000E+00  1.456972444E-03  1.000000000E+00  8.499999642E-01 
