x,y,z,p,wss_x,wss_y,wss_z,wss_mag
-0.069086954,0.072387728,-0.096410556,0,0.00084694746266,-0.00136224878278,7.3785959792e-05,0.001605766520560891
-0.087527253,-0.062912069,-0.029924714,0,-0.0020779305462,0.002017286759,-0.00032715274266,0.0029144931188626465
-0.068339602,-0.074821845,-0.062986831,0,-0.00108231900528,0.00052675128728,0.0003294526016,0.00124796649175466
-0.091152542,-0.06231289,-0.032227142,0,-0.00093486917888,0.00175575003562,-0.00062782540268,0.0020858579303130163
-0.09483541,-0.059802147,-0.031071988,0,-0.00151573969824,0.0016493735005399998,-0.0002293625295,0.002251778618568641
-0.11138732,-0.0089391438,-0.0061786924,0,0.0005789076684199999,0.000111473446078,-0.0006959271969800001,0.000912071861879548
-0.063602815,-0.064174857,-0.11826665,0,0.0048967340633999995,-0.0026296639958,-0.00168772380734,0.00580874761616744
-0.06833157,0.074822377,-0.062985881,0,-0.00045977407664,-0.00033736625153999995,0.0005408274294,0.0007859405178636149
-0.053198904,0.044798881,-0.13812924,0,0.0040730439842,-0.00056214103898,-0.0037672170475999997,0.005576523480508387
-0.05426226,0.041991638,-0.14196342,0,0.0078308855896,-0.00032039490980000004,-0.007524066686,0.010864483490300204
-0.085908563,-0.065737255,-0.034972744,0,-0.00094267378266,0.0017243374998799999,-0.0005884206620400001,0.0020513928315957705
-0.063609937,0.064178981,-0.11826428,0,0.0059250032441999995,-0.00199228555974,-0.0022395609872,0.0066400676661248935
-0.087533038,0.062911022,-0.029928042,0,-0.00189514801874,0.00163568852842,-0.000188908131306,0.002510527684972316
-0.11596091,-0.026415898,-0.016791132,0,0.00017988358665,0.000119317764646,-0.00026924257178,0.00034508896847754313
-0.072092019,-0.073465331,-0.092930305,0,0.0021513080202,-0.0010352729091399999,-0.00061900849106,0.0024663916368209693
-0.072092307,0.073465953,-0.092926697,0,0.0020898395664,-0.00109350704902,-0.0006181567234,0.002438299574341101
-0.091158599,0.062311327,-0.032229717,0,-0.0009316365700600001,0.0016071361474800001,-0.00045057411932,0.0019115047298426994
-0.081092826,0.065828864,-0.030401736,0,-0.00041887621002,0.00085709778254,-0.00036746100576,0.0010223020487653612
-0.067120626,-0.070182639,-0.10421892,0,0.00140192222712,-0.0023897213208000003,0.000279152954,0.0027846149273653845
-0.094841592,0.059798337,-0.031071645,0,-0.0014742803321600001,0.00159219594092,-0.00022857822362,0.002181934558227904
-0.068278129,-0.069341239,-0.10842942,0,0.0036257083914,-0.0017367385718199998,-0.00178438382004,0.004398414239647772
