nodenumber     x-coordinate     y-coordinate         pressure velocity-magnitude       y-velocity       x-velocity     y-coordinate     x-coordinate 
        75  8.499999642E-01  5.736433864E-01 -8.574082244E-08  3.447736963E-04  1.369251986E-04 -3.163658839E-04  5.736433268E-01  8.499999642E-01 
        76  8.499999642E-01  5.813953280E-01 -9.145787772E-08  3.482233733E-04  1.432615973E-04 -3.173359437E-04  5.813952684E-01  8.499999642E-01 
        77  8.499999642E-01  5.891472697E-01 -9.732083583E-08  3.512550029E-04  1.496125915E-04 -3.177455219E-04  5.891472101E-01  8.499999642E-01 
        78  8.499999642E-01  5.968992114E-01 -1.033155996E-07  3.538355231E-04  1.559492666E-04 -3.175612655E-04  5.968991518E-01  8.499999642E-01 
        79  8.499999642E-01  6.046511531E-01 -1.094261890E-07  3.559325123E-04  1.622410782E-04 -3.167511895E-04  6.046510935E-01  8.499999642E-01 
        80  8.499999642E-01  6.124030948E-01 -1.156349114E-07  3.575143637E-04  1.684559102E-04 -3.152849386E-04  6.124030352E-01  8.499999642E-01 
        81  8.499999642E-01  6.201550364E-01 -1.219224828E-07  3.585506347E-04  1.745603804E-04 -3.131336998E-04  6.201550364E-01  8.499999642E-01 
        82  8.499999642E-01  6.279069781E-01 -1.282678568E-07  3.590121341E-04  1.805199572E-04 -3.102705814E-04  6.279069781E-01  8.499999642E-01 
        83  8.499999642E-01  6.356589198E-01 -1.346487579E-07  3.588711552E-04  1.862993668E-04 -3.066705249E-04  6.356589198E-01  8.499999642E-01 
        84  8.499999642E-01  6.434108019E-01 -1.410414967E-07  3.581018245E-04  1.918627822E-04 -3.023105382E-04  6.434108615E-01  8.499999642E-01 
        85  8.499999642E-01  6.511627436E-01 -1.474217157E-07  3.566800442E-04  1.971739839E-04 -2.971692011E-04  6.511628032E-01  8.499999642E-01 
        86  8.499999642E-01  6.589146852E-01 -1.537637786E-07  3.545841028E-04  2.021969121E-04 -2.912269847E-04  6.589147449E-01  8.499999642E-01 
        87  8.500000238E-01  6.666666865E-01 -1.600413952E-07  3.517944133E-04  2.068959147E-04 -2.844656119E-04  6.666666865E-01  8.500000238E-01 
        88  8.499999642E-01  6.744185686E-01 -1.662286877E-07  3.482938628E-04  2.112357761E-04 -2.768677659E-04  6.744186282E-01  8.499999642E-01 
        89  8.499999642E-01  6.821705103E-01 -1.722991243E-07  3.440682776E-04  2.151823428E-04 -2.684168576E-04  6.821705699E-01  8.499999642E-01 
        90  8.499999642E-01  6.899224520E-01 -1.782265997E-07  3.391068312E-04  2.187026985E-04 -2.590962395E-04  6.899224520E-01  8.499999642E-01 
        91  8.499999642E-01  6.976743937E-01 -1.839855912E-07  3.334023640E-04  2.217653964E-04 -2.488886239E-04  6.976743937E-01  8.499999642E-01 
        92  8.499999642E-01  7.054263353E-01 -1.895512867E-07  3.269524314E-04  2.243407944E-04 -2.377752971E-04  7.054263353E-01  8.499999642E-01 
        93  8.499999642E-01  7.131782770E-01 -1.949000108E-07  3.197602928E-04  2.264012874E-04 -2.257352171E-04  7.131782770E-01  8.499999642E-01 
        94  8.499999642E-01  7.209302187E-01 -2.000095094E-07  3.118366876E-04  2.279213659E-04 -2.127438202E-04  7.209302187E-01  8.499999642E-01 
        95  8.499999642E-01  7.286821604E-01 -2.048591625E-07  3.032022796E-04  2.288780088E-04 -1.987720025E-04  7.286821604E-01  8.499999642E-01 
        96  8.499999642E-01  7.364341021E-01 -2.094299987E-07  2.938913822E-04  2.292507706E-04 -1.837847376E-04  7.364341021E-01  8.499999642E-01 
        97  8.499999642E-01  7.441860437E-01 -2.137048511E-07  2.839571389E-04  2.290218108E-04 -1.677397231E-04  7.441860437E-01  8.499999642E-01 
        98  8.499999642E-01  7.519379258E-01 -2.176686564E-07  2.734795853E-04  2.281761263E-04 -1.505858672E-04  7.519379854E-01  8.499999642E-01 
        99  8.499999642E-01  7.596898675E-01 -2.213087527E-07  2.625767083E-04  2.267016389E-04 -1.322615572E-04  7.596899271E-01  8.499999642E-01 
       100  8.499999642E-01  7.674418092E-01 -2.246145954E-07  2.514205698E-04  2.245892247E-04 -1.126930074E-04  7.674418688E-01  8.499999642E-01 
       101  8.499999642E-01  7.751937509E-01 -2.275769191E-07  2.402602404E-04  2.218331356E-04 -9.179262997E-05  7.751938105E-01  8.499999642E-01 
       102  8.499999642E-01  7.829456925E-01 -2.301941464E-07  2.294502046E-04  2.184297773E-04 -6.945685891E-05  7.829457521E-01  8.499999642E-01 
       103  8.499999642E-01  7.906976342E-01 -2.324580635E-07  2.194876433E-04  2.143784659E-04 -4.556485874E-05  7.906976938E-01  8.499999642E-01 
       104  8.499999642E-01  7.984495759E-01 -2.343642791E-07  2.110519854E-04  2.096840908E-04 -1.997653817E-05  7.984496355E-01  8.499999642E-01 
       105  8.499999642E-01  8.062015176E-01 -2.359200408E-07  2.050225594E-04  2.043535351E-04  7.469425327E-06  8.062015772E-01  8.499999642E-01 
       106  8.499999642E-01  8.139534593E-01 -2.371299956E-07  2.024566638E-04  1.983963302E-04  3.695888881E-05  8.139534593E-01  8.499999642E-01 
       107  8.499999642E-01  8.217054009E-01 -2.380015189E-07  2.044943685E-04  1.918257331E-04  6.870527432E-05  8.217054009E-01  8.499999642E-01 
       108  8.499999642E-01  8.294573426E-01 -2.385404798E-07  2.121884027E-04  1.846582745E-04  1.029484556E-04  8.294573426E-01  8.499999642E-01 
       109  8.499999642E-01  8.372092843E-01 -2.387534721E-07  2.263228671E-04  1.769147348E-04  1.399541216E-04  8.372092843E-01  8.499999642E-01 
       110  8.499999642E-01  8.449612260E-01 -2.386481981E-07  2.473174245E-04  1.686205360E-04  1.800132013E-04  8.449612260E-01  8.499999642E-01 
       111  8.499999642E-01  8.527131677E-01 -2.382331843E-07  2.752664732E-04  1.598064555E-04  2.234405692E-04  8.527131677E-01  8.499999642E-01 
       112  8.499999642E-01  8.604651093E-01 -2.375177530E-07  3.100690665E-04  1.505093824E-04  2.705724619E-04  8.604651093E-01  8.499999642E-01 
       113  8.499999642E-01  8.682170510E-01 -2.365119087E-07  3.515656572E-04  1.407733507E-04  3.217624908E-04  8.682170510E-01  8.499999642E-01 
       114  8.499999642E-01  8.759689927E-01 -2.352264232E-07  3.996282467E-04  1.306504128E-04  3.773763019E-04  8.759689927E-01  8.499999642E-01 
