nodenumber     x-coordinate     y-coordinate         pressure velocity-magnitude       y-velocity       x-velocity     y-coordinate     x-coordinate 
        69  8.499999642E-01  5.271317959E-01 -1.193525065E-07  4.442881036E-04  1.837484742E-04 -4.044272937E-04  5.271317959E-01  8.499999642E-01 
        70  8.499999642E-01  5.348837376E-01 -1.282077875E-07  4.493163433E-04  1.934792235E-04 -4.054404562E-04  5.348837376E-01  8.499999642E-01 
        71  8.499999642E-01  5.426356196E-01 -1.373337426E-07  4.538323556E-04  2.033013152E-04 -4.056617036E-04  5.426356792E-01  8.499999642E-01 
        72  8.499999642E-01  5.503875613E-01 -1.467081603E-07  4.578029620E-04  2.131749497E-04 -4.050521820E-04  5.503876209E-01  8.499999642E-01 
        73  8.499999642E-01  5.581395030E-01 -1.563054326E-07  4.611978657E-04  2.230579121E-04 -4.035769962E-04  5.581395626E-01  8.499999642E-01 
        74  8.499999642E-01  5.658914447E-01 -1.660968110E-07  4.639897088E-04  2.329058625E-04 -4.012052959E-04  5.658913851E-01  8.499999642E-01 
        75  8.499999642E-01  5.736433864E-01 -1.760503920E-07  4.661544808E-04  2.426726278E-04 -3.979111207E-04  5.736433268E-01  8.499999642E-01 
        76  8.499999642E-01  5.813953280E-01 -1.861312455E-07  4.676720710E-04  2.523106814E-04 -3.936736321E-04  5.813952684E-01  8.499999642E-01 
        77  8.499999642E-01  5.891472697E-01 -1.963019258E-07  4.685263266E-04  2.617713762E-04 -3.884771722E-04  5.891472101E-01  8.499999642E-01 
        78  8.499999642E-01  5.968992114E-01 -2.065225431E-07  4.687052860E-04  2.710054396E-04 -3.823117295E-04  5.968991518E-01  8.499999642E-01 
        79  8.499999642E-01  6.046511531E-01 -2.167508484E-07  4.682017025E-04  2.799634240E-04 -3.751730546E-04  6.046510935E-01  8.499999642E-01 
        80  8.499999642E-01  6.124030948E-01 -2.269440387E-07  4.670125782E-04  2.885959111E-04 -3.670625156E-04  6.124030352E-01  8.499999642E-01 
        81  8.499999642E-01  6.201550364E-01 -2.370571650E-07  4.651399504E-04  2.968541812E-04 -3.579873592E-04  6.201550364E-01  8.499999642E-01 
        82  8.499999642E-01  6.279069781E-01 -2.470438858E-07  4.625902511E-04  3.046907950E-04 -3.479599836E-04  6.279069781E-01  8.499999642E-01 
        83  8.499999642E-01  6.356589198E-01 -2.568598063E-07  4.593743652E-04  3.120593028E-04 -3.369978222E-04  6.356589198E-01  8.499999642E-01 
        84  8.499999642E-01  6.434108019E-01 -2.664600629E-07  4.555078631E-04  3.189153795E-04 -3.251233138E-04  6.434108615E-01  8.499999642E-01 
        85  8.499999642E-01  6.511627436E-01 -2.757999482E-07  4.510106810E-04  3.252166789E-04 -3.123629722E-04  6.511628032E-01  8.499999642E-01 
        86  8.499999642E-01  6.589146852E-01 -2.848365170E-07  4.459072370E-04  3.309235617E-04 -2.987470943E-04  6.589147449E-01  8.499999642E-01 
        87  8.500000238E-01  6.666666865E-01 -2.935298369E-07  4.402258783E-04  3.359990951E-04 -2.843087423E-04  6.666666865E-01  8.500000238E-01 
        88  8.499999642E-01  6.744185686E-01 -3.018417374E-07  4.339989391E-04  3.404089657E-04 -2.690830734E-04  6.744186282E-01  8.499999642E-01 
        89  8.499999642E-01  6.821705103E-01 -3.097358388E-07  4.272628285E-04  3.441223525E-04 -2.531062928E-04  6.821705699E-01  8.499999642E-01 
        90  8.499999642E-01  6.899224520E-01 -3.171801382E-07  4.200582625E-04  3.471119271E-04 -2.364146494E-04  6.899224520E-01  8.499999642E-01 
        91  8.499999642E-01  6.976743937E-01 -3.241462423E-07  4.124302068E-04  3.493536788E-04 -2.190431114E-04  6.976743937E-01  8.499999642E-01 
        92  8.499999642E-01  7.054263353E-01 -3.306093959E-07  4.044284869E-04  3.508271184E-04 -2.010241442E-04  7.054263353E-01  8.499999642E-01 
        93  8.499999642E-01  7.131782770E-01 -3.365491068E-07  3.961083712E-04  3.515152493E-04 -1.823861967E-04  7.131782770E-01  8.499999642E-01 
        94  8.499999642E-01  7.209302187E-01 -3.419489190E-07  3.875322291E-04  3.514046257E-04 -1.631520572E-04  7.209302187E-01  8.499999642E-01 
        95  8.499999642E-01  7.286821604E-01 -3.467969805E-07  3.787712194E-04  3.504852939E-04 -1.433371363E-04  7.286821604E-01  8.499999642E-01 
        96  8.499999642E-01  7.364341021E-01 -3.510856175E-07  3.699075896E-04  3.487506183E-04 -1.229474437E-04  7.364341021E-01  8.499999642E-01 
        97  8.499999642E-01  7.441860437E-01 -3.548111351E-07  3.610387794E-04  3.461974848E-04 -1.019774791E-04  7.441860437E-01  8.499999642E-01 
        98  8.499999642E-01  7.519379258E-01 -3.579773988E-07  3.522814659E-04  3.428253985E-04 -8.040786634E-05  7.519379854E-01  8.499999642E-01 
        99  8.499999642E-01  7.596898675E-01 -3.605886434E-07  3.437777050E-04  3.386364260E-04 -5.820266597E-05  7.596899271E-01  8.499999642E-01 
       100  8.499999642E-01  7.674418092E-01 -3.626497573E-07  3.357042733E-04  3.336367081E-04 -3.530692265E-05  7.674418688E-01  8.499999642E-01 
       101  8.499999642E-01  7.751937509E-01 -3.641759463E-07  3.282811958E-04  3.278352960E-04 -1.164325477E-05  7.751938105E-01  8.499999642E-01 
       102  8.499999642E-01  7.829456925E-01 -3.651870770E-07  3.217815538E-04  3.212428710E-04  1.289173633E-05  7.829457521E-01  8.499999642E-01 
       103  8.499999642E-01  7.906976342E-01 -3.657052048E-07  3.165432136E-04  3.138718603E-04  3.843354352E-05  7.906976938E-01  8.499999642E-01 
       104  8.499999642E-01  7.984495759E-01 -3.657541185E-07  3.129805264E-04  3.057365248E-04  6.515450514E-05  7.984496355E-01  8.499999642E-01 
       105  8.499999642E-01  8.062015176E-01 -3.653575504E-07  3.115912259E-04  2.968525514E-04  9.326548025E-05  8.062015772E-01  8.499999642E-01 
       106  8.499999642E-01  8.139534593E-01 -3.645405968E-07  3.129562247E-04  2.872377227E-04  1.230192720E-04  8.139534593E-01  8.499999642E-01 
       107  8.499999642E-01  8.217054009E-01 -3.633289793E-07  3.177275648E-04  2.769118582E-04  1.547141583E-04  8.217054009E-01  8.499999642E-01 
       108  8.499999642E-01  8.294573426E-01 -3.617493576E-07  3.266035928E-04  2.658973099E-04  1.886970858E-04  8.294573426E-01  8.499999642E-01 
       109  8.499999642E-01  8.372092843E-01 -3.598280500E-07  3.402947041E-04  2.542193106E-04  2.253661369E-04  8.372092843E-01  8.499999642E-01 
       110  8.499999642E-01  8.449612260E-01 -3.575911762E-07  3.594867885E-04  2.419068915E-04  2.651720133E-04  8.449612260E-01  8.499999642E-01 
       111  8.499999642E-01  8.527131677E-01 -3.550637473E-07  3.848139313E-04  2.289937111E-04  3.086182114E-04  8.527131677E-01  8.499999642E-01 
       112  8.499999642E-01  8.604651093E-01 -3.522694101E-07  4.168464220E-04  2.155193069E-04  3.562591446E-04  8.604651093E-01  8.499999642E-01 
       113  8.499999642E-01  8.682170510E-01 -3.492304472E-07  4.560963716E-04  2.015305799E-04  4.086960689E-04  8.682170510E-01  8.499999642E-01 
       114  8.499999642E-01  8.759689927E-01 -3.459666686E-07  5.030338652E-04  1.870835113E-04  4.665700544E-04  8.759689927E-01  8.499999642E-01 
       115  8.499999642E-01  8.837209344E-01 -3.424962074E-07  5.581053556E-04  1.722451707E-04  5.305510713E-04  8.837209344E-01  8.499999642E-01 
       116  8.499999642E-01  8.914728761E-01 -3.388345817E-07  6.217461778E-04  1.570957538E-04  6.013238453E-04  8.914728761E-01  8.499999642E-01 
       117  8.499999642E-01  8.992247581E-01 -3.349950362E-07  6.943824119E-04  1.417309977E-04  6.795675145E-04  8.992248178E-01  8.499999642E-01 
       118  8.499999642E-01  9.069766998E-01 -3.309883709E-07  7.764207548E-04  1.262644219E-04  7.659319672E-04  9.069767594E-01  8.499999642E-01 
       119  8.499999642E-01  9.147286415E-01 -3.268236810E-07  8.682268672E-04  1.108291690E-04  8.610064979E-04  9.147287011E-01  8.499999642E-01 
       120  8.499999642E-01  9.224805832E-01 -3.225075318E-07  9.700935334E-04  9.558007878E-05  9.652848821E-04  9.224806428E-01  8.499999642E-01 
       121  8.499999642E-01  9.302325249E-01 -3.180461761E-07  1.082201139E-03  8.069389878E-05  1.079123002E-03  9.302325845E-01  8.499999642E-01 
       122  8.499999642E-01  9.379844666E-01 -3.134410065E-07  1.204570057E-03  6.637069600E-05  1.202693209E-03  9.379844666E-01  8.499999642E-01 
       123  8.499999642E-01  9.457364082E-01 -3.086987590E-07  1.337009133E-03  5.282984057E-05  1.335932291E-03  9.457364082E-01  8.499999642E-01 
       124  8.499999642E-01  9.534883499E-01 -3.038117313E-07  1.479062135E-03  4.031283970E-05  1.478490885E-03  9.534883499E-01  8.499999642E-01 
       125  8.499999642E-01  9.612402916E-01 -2.988037409E-07  1.629952108E-03  2.906558620E-05  1.629679231E-03  9.612402916E-01  8.499999642E-01 
       126  8.499999642E-01  9.689922333E-01 -2.936306487E-07  1.788532361E-03  1.935881664E-05  1.788419671E-03  9.689922333E-01  8.499999642E-01 
       127  8.499999642E-01  9.767441750E-01 -2.883989794E-07  1.953240950E-03  1.142057226E-05  1.953203464E-03  9.767441750E-01  8.499999642E-01 
       128  8.499999642E-01  9.844961166E-01 -2.829762593E-07  2.122071339E-03  5.546726698E-06  2.122062724E-03  9.844961166E-01  8.499999642E-01 
       129  8.499999642E-01  9.922480583E-01 -2.787024869E-07  2.292554127E-03  1.805783995E-06  2.292552963E-03  9.922480583E-01  8.499999642E-01 
       130  8.499999642E-01  1.000000000E+00 -2.772686969E-07  2.461780794E-03  0.000000000E+00  2.461780794E-03  1.000000000E+00  8.499999642E-01 
